"REF_DATE","GEO","DGUID","Estimates","Livestock","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1920","Canada","2016A000011124","Estimated farm output","Hogs","Head","148","thousands","3","v61841","1.3.1","3302.6","","","","1"
"1920","Canada","2016A000011124","Estimated farm output","Sheep and lambs","Head","148","thousands","3","v62137","1.3.2","1353.3","","","","1"
"1920","Canada","2016A000011124","Exported alive, farm production","Hogs","Head","148","thousands","3","v61842","1.4.1","1.4","","","","1"
"1920","Canada","2016A000011124","Exported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62140","1.4.2","184.0","","","","1"
"1920","Canada","2016A000011124","Total slaughterings, farm and meat production","Hogs","Head","148","thousands","3","v61843","1.5.1","3301.2","","","","1"
"1920","Canada","2016A000011124","Total slaughterings, farm and meat production","Sheep and lambs","Head","148","thousands","3","v62141","1.5.2","1170.6","","","","1"
"1920","Canada","2016A000011124","Inspected slaughterings","Hogs","Head","148","thousands","3","v61844","1.6.1","1773.0","","","","1"
"1920","Canada","2016A000011124","Inspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62142","1.6.2","646.8","","","","1"
"1920","Canada","2016A000011124","Uninspected slaughterings","Hogs","Head","148","thousands","3","v61845","1.7.1","1528.2","","","","1"
"1920","Canada","2016A000011124","Uninspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62143","1.7.2","523.8","","","","1"
"1920","Canada","2016A000011124","Imported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62138","1.11.2","1.3","","","","1"
"1920","Canada","2016A000011124","Total supply","Sheep and lambs","Head","148","thousands","3","v62139","1.12.2","1354.6","","","","1"
"1921","Canada","2016A000011124","Estimated farm output","Hogs","Head","148","thousands","3","v61841","1.3.1","3160.0","","","","1"
"1921","Canada","2016A000011124","Estimated farm output","Sheep and lambs","Head","148","thousands","3","v62137","1.3.2","1378.0","","","","1"
"1921","Canada","2016A000011124","Exported alive, farm production","Hogs","Head","148","thousands","3","v61842","1.4.1","3.2","","","","1"
"1921","Canada","2016A000011124","Exported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62140","1.4.2","100.7","","","","1"
"1921","Canada","2016A000011124","Total slaughterings, farm and meat production","Hogs","Head","148","thousands","3","v61843","1.5.1","3156.8","","","","1"
"1921","Canada","2016A000011124","Total slaughterings, farm and meat production","Sheep and lambs","Head","148","thousands","3","v62141","1.5.2","1293.3","","","","1"
"1921","Canada","2016A000011124","Inspected slaughterings","Hogs","Head","148","thousands","3","v61844","1.6.1","1658.6","","","","1"
"1921","Canada","2016A000011124","Inspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62142","1.6.2","660.9","","","","1"
"1921","Canada","2016A000011124","Uninspected slaughterings","Hogs","Head","148","thousands","3","v61845","1.7.1","1498.2","","","","1"
"1921","Canada","2016A000011124","Uninspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62143","1.7.2","632.4","","","","1"
"1921","Canada","2016A000011124","Imported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62138","1.11.2","16.0","","","","1"
"1921","Canada","2016A000011124","Total supply","Sheep and lambs","Head","148","thousands","3","v62139","1.12.2","1394.0","","","","1"
"1922","Canada","2016A000011124","Estimated farm output","Hogs","Head","148","thousands","3","v61841","1.3.1","3620.0","","","","1"
"1922","Canada","2016A000011124","Estimated farm output","Sheep and lambs","Head","148","thousands","3","v62137","1.3.2","1267.0","","","","1"
"1922","Canada","2016A000011124","Exported alive, farm production","Hogs","Head","148","thousands","3","v61842","1.4.1","2.3","","","","1"
"1922","Canada","2016A000011124","Exported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62140","1.4.2","92.3","","","","1"
"1922","Canada","2016A000011124","Total slaughterings, farm and meat production","Hogs","Head","148","thousands","3","v61843","1.5.1","3617.7","","","","1"
"1922","Canada","2016A000011124","Total slaughterings, farm and meat production","Sheep and lambs","Head","148","thousands","3","v62141","1.5.2","1183.0","","","","1"
"1922","Canada","2016A000011124","Inspected slaughterings","Hogs","Head","148","thousands","3","v61844","1.6.1","1932.2","","","","1"
"1922","Canada","2016A000011124","Inspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62142","1.6.2","611.1","","","","1"
"1922","Canada","2016A000011124","Uninspected slaughterings","Hogs","Head","148","thousands","3","v61845","1.7.1","1685.5","","","","1"
"1922","Canada","2016A000011124","Uninspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62143","1.7.2","571.9","","","","1"
"1922","Canada","2016A000011124","Imported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62138","1.11.2","8.3","","","","1"
"1922","Canada","2016A000011124","Total supply","Sheep and lambs","Head","148","thousands","3","v62139","1.12.2","1275.3","","","","1"
"1923","Canada","2016A000011124","Estimated farm output","Hogs","Head","148","thousands","3","v61841","1.3.1","3975.0","","","","1"
"1923","Canada","2016A000011124","Estimated farm output","Sheep and lambs","Head","148","thousands","3","v62137","1.3.2","1242.0","","","","1"
"1923","Canada","2016A000011124","Exported alive, farm production","Hogs","Head","148","thousands","3","v61842","1.4.1","1.6","","","","1"
"1923","Canada","2016A000011124","Exported alive, farm production","Sheep and lambs","Head","148","thousands","3","v62140","1.4.2","30.6","","","","1"
"1923","Canada","2016A000011124","Total slaughterings, farm and meat production","Hogs","Head","148","thousands","3","v61843","1.5.1","3973.4","","","","1"
"1923","Canada","2016A000011124","Total slaughterings, farm and meat production","Sheep and lambs","Head","148","thousands","3","v62141","1.5.2","1216.8","","","","1"
"1923","Canada","2016A000011124","Inspected slaughterings","Hogs","Head","148","thousands","3","v61844","1.6.1","2260.4","","","","1"
"1923","Canada","2016A000011124","Inspected slaughterings","Sheep and lambs","Head","148","thousands","3","v62142","1.6.2","481.8","","","","1"
"1923","Canada","2016A000011124","Uninspected slaughterings","Hogs","Head","148","thousands","3","v61845","1.7.1","1713.0","","","","1"
