"REF_DATE","GEO","DGUID","Selected livestock","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1921","Canada","2016A000011124","Total cattle","Number of animals","Number","223","units","0","v62727290","1.1.2","8369489","","","","0"
"1921","Canada","2016A000011124","Total cattle","Average number","Number","223","units","0","v62727291","1.1.3","","..","","","0"
"1921","Canada","2016A000011124","Total pigs","Number of farms reporting","Number","223","units","0","v62727310","1.8.1","452935","","","","0"
"1921","Canada","2016A000011124","Total pigs","Number of animals","Number","223","units","0","v62727311","1.8.2","3324291","","","","0"
"1921","Canada","2016A000011124","Total pigs","Average number","Number","223","units","0","v62727312","1.8.3","7","","","","0"
"1921","Canada","2016A000011124","Total sheep","Number of farms reporting","Number","223","units","0","v62727322","1.12.1","161838","","","","0"
"1921","Canada","2016A000011124","Total sheep","Number of animals","Number","223","units","0","v62727323","1.12.2","3200467","","","","0"
"1921","Canada","2016A000011124","Total sheep","Average number","Number","223","units","0","v62727324","1.12.3","20","","","","0"
"1921","Canada","2016A000011124","Horses and ponies","Number of farms reporting","Number","223","units","0","v62727334","1.16.1","608272","","","","0"
"1921","Canada","2016A000011124","Horses and ponies","Number of animals","Number","223","units","0","v62727335","1.16.2","3451752","","","","0"
"1921","Canada","2016A000011124","Horses and ponies","Average number","Number","223","units","0","v62727336","1.16.3","6","","","","0"
"1921","Canada","2016A000011124","Total hens and chickens","Number of animals","Number","223","units","0","v62727362","1.25.2","41125091","","","","0"
"1921","Canada","2016A000011124","Total hens and chickens","Average number","Number","223","units","0","v62727363","1.25.3","","..","","","0"
"1921","Prince Edward Island","2016A000211","Total cattle","Number of animals","Number","223","units","0","v62727446","3.1.2","109948","","","","0"
"1921","Prince Edward Island","2016A000211","Total cattle","Average number","Number","223","units","0","v62727447","3.1.3","","..","","","0"
"1921","Prince Edward Island","2016A000211","Total pigs","Number of farms reporting","Number","223","units","0","v62727466","3.8.1","9365","","","","0"
"1921","Prince Edward Island","2016A000211","Total pigs","Number of animals","Number","223","units","0","v62727467","3.8.2","39172","","","","0"
"1921","Prince Edward Island","2016A000211","Total pigs","Average number","Number","223","units","0","v62727468","3.8.3","4","","","","0"
"1921","Prince Edward Island","2016A000211","Total sheep","Number of farms reporting","Number","223","units","0","v62727478","3.12.1","6666","","","","0"
